ID,Variance,Number
348,1.58447133586,4
37,0.469472988402,4
175,0.176052370651,4
714,0.176052370651,4
131,0.176052370651,4
881,0.645525359053,4
892,1.11499834746,4
228,1.87789195361,4
787,4.40130926627,4
898,0.704209482603,4
269,2.11262844781,4
540,0.645525359053,4
424,0.176052370651,4
736,0.234736494201,4
185,0.645525359053,4
27,1.11499834746,4
612,0.645525359053,4
279,1.17368247101,4
647,1.58447133586,4
823,0.704209482603,4
78,0.704209482603,4
475,86.6177663602,4
912,0.704209482603,4
627,0.176052370651,4
557,0.176052370651,4
849,99.7043259119,4
635,0.176052370651,4
239,2.34736494201,4
555,0.176052370651,4
785,1.17368247101,4
770,0.176052370651,4
568,0.176052370651,4
410,0.176052370651,4
941,2.11262844781,4
281,0.176052370651,4
765,0.176052370651,4
931,0.176052370651,4
708,1.17368247101,4
334,1.87789195361,4
